method,split,n,format_valid,iou_ge_0_3,center_hit,query_anchor_hit,R@1,R@5,MRR,evidence_support,unsupported_rate,spurious_success,EM,F1,DAGIG_total,R_ground,R_observe,R_search,R_evidence,R_answer,R_cost
sft_initializer,dev,98,0.9897959183673469,0.42857142857142855,0.6428571428571429,0.7346938775510204,0.41237113402061853,0.6082474226804123,0.5041244370214274,0.7142857142857143,0.01020408163265306,0.01020408163265306,0.05102040816326531,0.16166100636340677,0.12979304575236436,-0.04777253866039149,0.10863517987330058,0.06805299159890085,0.0022712865932500597,0.004728575326896173,-0.006122448979591837
sft_initializer,test,64,0.96875,0.453125,0.59375,0.59375,0.3709677419354839,0.5645161290322581,0.457315668202765,0.65625,0.0,0.0,0.015625,0.15732830846269313,0.002241585602339016,-0.07670059276831168,0.1329781270367544,0.052621057145114065,-0.09928943452380952,0.003569928712591756,-0.0109375
outcome_only_lowbudget_rl,dev,98,0.9795918367346939,0.40816326530612246,0.6632653061224489,0.7448979591836735,0.4375,0.6354166666666666,0.5257309092024314,0.7040816326530612,0.01020408163265306,0.01020408163265306,0.05102040816326531,0.1430862250837266,0.17689163232681504,-0.04561899732634242,0.13877500278271568,0.07624493579055239,0.01097297606024565,0.004680980325766187,-0.00816326530612245
outcome_only_lowbudget_rl,test,64,1.0,0.421875,0.546875,0.59375,0.375,0.546875,0.4627798336988304,0.671875,0.0,0.0,0.03125,0.154971030324165,-0.058823656226231744,-0.10711515535290536,0.10537073481231846,0.032529162277828566,-0.0888148594141604,0.003893961450686994,-0.0046875
outcome_plus_ground_penalty_lowbudget_rl,dev,98,0.9591836734693877,0.41836734693877553,0.6530612244897959,0.7448979591836735,0.45263157894736844,0.6421052631578947,0.5361415256126632,0.7244897959183674,0.01020408163265306,0.01020408163265306,0.04081632653061224,0.1468065396234032,0.12486032545587152,-0.04769593413840633,0.10207500688659783,0.06942121552200137,0.008822830287650896,0.004482104857211418,-0.012244897959183675
outcome_plus_ground_penalty_lowbudget_rl,test,64,0.984375,0.421875,0.546875,0.578125,0.36507936507936506,0.5714285714285714,0.45406671440506025,0.65625,0.0,0.0,0.015625,0.14252193884546827,-0.09757113223197886,-0.10691404183085151,0.08756483485487254,0.026644471219378275,-0.09918223292606516,0.002128336450686994,-0.0078125
generic_process_lowbudget_rl,dev,98,0.9795918367346939,0.41836734693877553,0.6530612244897959,0.7448979591836735,0.4375,0.6354166666666666,0.5256219027454987,0.7551020408163265,0.0,0.0,0.030612244897959183,0.13798973284741275,0.18628065449395984,-0.044628003759972855,0.13932681388071294,0.0778574821818601,0.015182697339937774,0.0026232975044830917,-0.004081632653061225
generic_process_lowbudget_rl,test,64,1.0,0.453125,0.59375,0.578125,0.390625,0.578125,0.47003739818295737,0.671875,0.0,0.0,0.03125,0.14335469983447924,0.017157441316905046,-0.08492565610466757,0.1283668031159986,0.04564735822401636,-0.06919897399749374,0.0019554100790513834,-0.0046875
old_heuristic_dagig_lowbudget_rl,dev,98,0.9795918367346939,0.41836734693877553,0.6428571428571429,0.7653061224489796,0.40625,0.6354166666666666,0.5072177243586014,0.7142857142857143,0.01020408163265306,0.01020408163265306,0.030612244897959183,0.15216145816207352,0.195760653679212,-0.04703394125328699,0.15358530692175945,0.09149497980725059,0.0005130616174477314,0.005364511892163688,-0.00816326530612245
old_heuristic_dagig_lowbudget_rl,test,64,0.984375,0.4375,0.546875,0.59375,0.4126984126984127,0.5873015873015873,0.49059901738473166,0.671875,0.0,0.0,0.015625,0.16252153217976553,-0.09009586527578337,-0.106559763429111,0.10630283990870429,0.010299391465889257,-0.0942671130952381,0.0019412798739721815,-0.0078125
counterfactual_dagig_rejection_sft,dev,98,0.9795918367346939,0.40816326530612246,0.6530612244897959,0.7448979591836735,0.422680412371134,0.6185567010309279,0.5132327857174049,0.7346938775510204,0.0,0.0,0.061224489795918366,0.16419266613002,0.16408696532187378,-0.049616676165154756,0.13886892052130773,0.07266326349449422,0.0007998600605990374,0.005453230063688779,-0.004081632653061225
counterfactual_dagig_rejection_sft,test,64,0.984375,0.453125,0.609375,0.59375,0.36507936507936506,0.5714285714285714,0.45708287813550974,0.65625,0.0,0.0,0.015625,0.1634851187653655,-0.009473192277109467,-0.07164368291161843,0.11093158533563116,0.031046465689387452,-0.07623795064584539,0.004242890255335749,-0.0078125
